Title;State;VlogLink;Published
"Fleur de sureau : comment l'utiliser";"https://www.youtube.com/watch?v=iCuqPvPN2F8";"il y a 4 ans";
"Fleurs de tilleul : stress, fièvre et problèmes cardiovasculaires";"https://www.youtube.com/watch?v=StKKOaFEvws";"il y a 3 ans";
"Fragon ou petit houx (Ruscus aculeatus)";"https://www.youtube.com/watch?v=ZA2XaKZuFJY";"il y a 4 ans";
"France 5 - La quotidienne";"https://www.youtube.com/watch?v=GzExgeCHy0s";"il y a 7 ans";
"Gaillet gratteron (Galium aparine) : tonique lymphatique, minéralisante et réparatrice de la peau";"https://www.youtube.com/watch?v=rz97xNMEe4o";"il y a 2 ans";
"Gastroentérite : comment la soulager ?";"https://www.youtube.com/watch?v=-gF5owL0S0w";"il y a 4 ans";
"Gelules : comment les fabriquer vous-même";"https://www.youtube.com/watch?v=LlUpLCXatFM";"il y a 4 ans";
"Gentiane (Gentiana lutea) : la reine des amères digestives !";"https://www.youtube.com/watch?v=baOvGX9rAX8";"il y a 3 ans";
"Genévrier et genièvre (Juniperus communis) : digestion, cystites, bronchites";"https://www.youtube.com/watch?v=fShU_iXDv4s";"il y a 3 ans";
"Gingembre";"https://www.youtube.com/watch?v=L4P28NLFJnM";"il y a 4 ans";
"Ginseng : immunité basse, fatigue, épuisement, cancer";"https://www.youtube.com/watch?v=Shc9dnpPyPA";"il y a 3 ans";
"Gotu kola (Centella asiatica)";"https://www.youtube.com/watch?v=OOGEjsxTuBc";"il y a 6 ans";
"Graine d'anis vert : propriétés";"https://www.youtube.com/watch?v=s38wCyUWa7g";"il y a 4 ans";
"Graines de chia (Salvia hispanica)";"https://www.youtube.com/watch?v=8fteKqoL9M0";"il y a 3 ans";
"Graines germées : bienfaits pour la santé";"https://www.youtube.com/watch?v=e1AFLQ5Z_Gw";"il y a 1 an";
"Grand manuel de phytothérapie" d'Eric Lorrain : revue de livre";"https://www.youtube.com/watch?v=BtPDc6ApkMI";"il y a 1 an";
